participant_id,start_time,user_agent,language,screen_size,referrer,end_time
b9965371-3de7-4c77-8125-13aaa5edbb9a,2025-12-29T07:32:30.691Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",en-GB,995x801,direct,
07b2fec4-af8b-4b62-a4a5-d42528799d76,2025-12-29T07:53:25.801Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",en-GB,594x801,direct,
3d61f2de-0388-4b3f-a396-a6113b75396c,2025-12-29T07:57:59.008Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",en-GB,1151x801,direct,
7c4cdc80-a1c7-4d4a-8723-283277856e22,2025-12-31T04:23:18.123Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",en-GB,1423x801,direct,
